%SpO2	BPM	Pulse Amplitude	Current time
100	 77	  2	22:49:53
100	 76	  2	22:49:55
100	 75	  3	22:49:57
100	 75	  3	22:49:59
100	 74	  3	22:50:01
100	 74	  2	22:50:03
100	 74	  2	22:50:05
100	 73	  3	22:50:07
100	 73	  3	22:50:09
100	 72	  3	22:50:11
100	 72	  3	22:50:13
100	 73	  3	22:50:15
100	 72	  3	22:50:17
100	 72	  3	22:50:19
100	 73	  3	22:50:21
100	 77	  3	22:50:23
100	 77	  2	22:50:29
100	 77	  2	22:50:31
100	 78	  2	22:50:33
100	 79	  2	22:50:35
100	 78	  3	22:50:37
100	 76	  4	22:50:39
100	 76	  4	22:50:41
100	 75	  4	22:50:43
100	 75	  4	22:50:45
100	 74	  4	22:50:47
100	 76	  4	22:50:49
100	 80	  4	22:50:51
100	 83	  4	22:50:53
100	 84	  3	22:50:55
100	 83	  3	22:50:57
100	 84	  3	22:50:59
100	 87	  3	22:51:01
100	 88	  3	22:51:03
100	 89	  3	22:51:05
100	 90	  4	22:51:07
100	 86	  4	22:51:13
100	 83	  4	22:51:15
100	 82	  4	22:51:17
100	 85	  4	22:51:19
100	 85	  5	22:51:21
100	 84	  5	22:51:23
100	 84	  4	22:51:25
100	 86	  4	22:51:27
100	 88	  3	22:51:29
100	 90	  2	22:51:31
100	 92	  4	22:51:33
100	 94	  3	22:51:35
100	 94	  3	22:51:37
100	 95	  3	22:51:39
100	 93	  7	22:51:41
100	 92	  9	22:51:43
100	 90	  6	22:51:45
100	 87	  3	22:51:47
100	 85	  3	22:51:49
100	 84	  3	22:51:51
100	 87	  4	22:51:57
100	 85	  4	22:51:59
100	 85	  3	22:52:01
100	 83	  3	22:52:03
100	 80	  3	22:52:05
100	 78	  3	22:52:07
100	 77	  3	22:52:09
100	 76	  4	22:52:11
100	 75	  4	22:52:13
100	 76	  4	22:52:15
100	 76	  4	22:52:17
100	 76	  4	22:52:19
100	 76	  5	22:52:21
100	 77	  4	22:52:23
100	 77	  3	22:52:25
100	 78	  3	22:52:27
100	 77	  3	22:52:29
100	 77	  3	22:52:31
100	 79	  3	22:52:33
100	 78	  3	22:52:35
100	 77	  3	22:52:41
100	 78	  4	22:52:43
100	 78	  4	22:52:45
100	 77	  4	22:52:47
100	 76	  4	22:52:49
100	 77	  3	22:52:51
100	 78	  3	22:52:53
100	 78	  3	22:52:55
100	 78	  4	22:52:57
100	 77	  3	22:52:59
100	 78	  3	22:53:01
100	 80	  3	22:53:03
100	 83	  3	22:53:05
100	 87	  4	22:53:07
100	 88	  3	22:53:09
100	 87	  3	22:53:11
100	 87	  3	22:53:13
100	 87	  3	22:53:15
100	 87	  4	22:53:17
100	 87	  5	22:53:19
100	 84	  3	22:53:25
100	 83	  3	22:53:27
100	 80	  3	22:53:29
100	 79	  2	22:53:31
100	 78	  3	22:53:33
100	 77	  3	22:53:35
100	 76	  3	22:53:37
100	 76	  3	22:53:39
100	 77	  2	22:53:41
100	 77	  2	22:53:43
100	 77	  2	22:53:45
100	 78	  2	22:53:47
100	 79	  2	22:53:49
100	 80	  2	22:53:51
100	 78	  2	22:53:53
100	 77	  2	22:53:55
100	 77	  2	22:53:57
100	 77	  3	22:53:59
100	 77	  3	22:54:01
100	 76	  3	22:54:03
100	 77	  3	22:54:07
100	 78	  3	22:54:09
100	 80	  2	22:54:11
100	 80	  2	22:54:13
100	 80	  2	22:54:15
100	 81	  2	22:54:17
100	 83	  2	22:54:19
100	 84	  2	22:54:21
100	 86	  2	22:54:23
100	 85	  3	22:54:25
100	 84	  3	22:54:27
100	 84	  3	22:54:29
100	 82	  3	22:54:31
100	 81	  2	22:54:33
100	 80	  2	22:54:35
100	 79	  2	22:54:37
100	 78	  2	22:54:39
100	 77	  2	22:54:41
100	 77	  2	22:54:43
100	 78	  2	22:54:45
100	 78	  3	22:54:47
100	 80	  3	22:54:53
100	 79	  3	22:54:55
100	 79	  3	22:54:57
100	 77	  3	22:54:59
100	 76	  3	22:55:01
100	 75	  2	22:55:03
100	 74	  2	22:55:05
100	 75	  2	22:55:07
100	 76	  3	22:55:09
100	 73	  3	22:55:11
100	 71	  3	22:55:13
100	 72	  3	22:55:15
100	 73	  2	22:55:17
100	 74	  2	22:55:19
100	 73	  3	22:55:21
100	 72	  3	22:55:23
100	 73	  3	22:55:25
100	 75	  2	22:55:27
100	 76	  2	22:55:29
100	 77	  2	22:55:31
100	 82	  3	22:55:37
100	 82	  3	22:55:39
100	 81	  2	22:55:41
100	 80	  2	22:55:43
100	 78	  2	22:55:45
100	 77	  3	22:55:47
100	 76	  3	22:55:49
100	 76	  3	22:55:51
100	 76	  3	22:55:53
100	 74	  3	22:55:55
100	 74	  2	22:55:57
100	 75	  2	22:55:59
100	 76	  2	22:56:01
100	 76	  2	22:56:03
100	 76	  2	22:56:05
100	 77	  2	22:56:07
100	 78	  2	22:56:09
100	 78	  2	22:56:11
100	 77	  2	22:56:13
100	 78	  2	22:56:15
100	 79	  3	22:56:19
100	 79	  2	22:56:21
100	 80	  2	22:56:23
100	 80	  2	22:56:25
100	 81	  2	22:56:27
100	 80	  2	22:56:29
100	 79	  3	22:56:31
100	 80	  3	22:56:34
100	 82	  6	22:56:35
100	 84	 11	22:56:38
100	 84	  3	22:56:39
100	 85	  4	22:56:42
100	 88	  2	22:56:43
100	 90	  2	22:56:46
100	 92	  2	22:56:47
100	 93	  2	22:56:50
100	 92	  3	22:56:51
100	 92	  3	22:56:54
100	 90	  4	22:56:55
100	 87	  4	22:56:58
100	 86	  4	22:56:59
100	 83	  4	22:57:03
100	 79	  4	22:57:06
100	 78	  3	22:57:07
100	 78	  3	22:57:10
100	 78	  4	22:57:11
100	 75	  4	22:57:14
100	 74	  3	22:57:15
100	 75	  3	22:57:18
100	 76	  3	22:57:19
100	 76	  4	22:57:22
100	 76	  4	22:57:23
100	 77	  3	22:57:26
100	 78	  3	22:57:27
100	 78	  4	22:57:30
100	 78	  4	22:57:31
100	 77	  4	22:57:34
100	 77	  4	22:57:35
100	 78	  4	22:57:38
100	 79	  6	22:57:39
100	 80	  7	22:57:42
100	 81	  5	22:57:43
100	 83	  3	22:57:47
100	 85	  3	22:57:50
100	 86	  3	22:57:51
100	 82	  3	22:57:54
100	 79	  3	22:57:55
100	 76	  3	22:57:58
100	 74	  3	22:57:59
100	 72	  3	22:58:02
100	 71	  3	22:58:03
100	 70	  3	22:58:06
100	 70	  2	22:58:08
100	 69	  2	22:58:10
100	 69	  3	22:58:12
100	 69	  3	22:58:14
100	 70	  3	22:58:16
100	 72	  3	22:58:18
100	 76	  3	22:58:20
100	 77	  3	22:58:22
100	 77	  3	22:58:24
100	 77	  3	22:58:26
100	 77	  2	22:58:28
100	 76	  3	22:58:32
100	 75	  2	22:58:34
100	 74	  2	22:58:36
100	 74	  2	22:58:38
100	 74	  2	22:58:40
100	 73	  2	22:58:42
100	 72	  2	22:58:44
100	 72	  2	22:58:46
100	 72	  2	22:58:48
100	 71	  2	22:58:50
100	 71	  2	22:58:52
100	 72	  2	22:58:54
100	 73	  2	22:58:56
100	 73	  2	22:58:58
100	 75	  4	22:59:00
100	 77	  3	22:59:02
100	 80	  2	22:59:04
100	 81	  2	22:59:06
100	 82	  2	22:59:08
100	 83	  2	22:59:10
100	 84	  2	22:59:12
100	 91	  3	22:59:18
100	 93	  3	22:59:20
100	 96	  2	22:59:22
100	 96	  2	22:59:24
100	 96	  2	22:59:26
100	 96	  3	22:59:28
100	 92	  3	22:59:30
100	 89	  3	22:59:32
100	 87	  3	22:59:34
100	 87	  3	22:59:36
100	 87	  3	22:59:38
100	 87	  3	22:59:40
100	 87	  3	22:59:42
100	 88	  2	22:59:44
100	 90	  2	22:59:46
100	 91	  2	22:59:48
100	 92	  2	22:59:50
100	 90	  2	22:59:52
100	 89	  2	22:59:54
100	 90	  2	22:59:56
100	 89	  2	23:00:00
100	 88	  2	23:00:02
100	 86	  2	23:00:04
100	 86	  2	23:00:06
100	 88	  2	23:00:08
100	 87	  2	23:00:10
100	 84	  4	23:00:12
100	 86	  4	23:00:14
100	 88	  3	23:00:16
100	 86	  2	23:00:18
100	 86	  2	23:00:20
100	 87	  2	23:00:22
100	 87	  2	23:00:24
100	 86	  2	23:00:26
100	 83	  3	23:00:28
100	 82	  4	23:00:30
100	 79	  4	23:00:32
100	 79	  3	23:00:34
100	 78	  3	23:00:36
100	 78	  3	23:00:38
100	 77	  3	23:00:40
100	 79	  3	23:00:44
100	 81	  3	23:00:46
100	 82	  3	23:00:48
100	 80	  3	23:00:50
100	 80	  3	23:00:52
100	 80	  3	23:00:54
100	 83	  3	23:00:56
100	 81	  3	23:00:58
100	 79	  3	23:01:00
100	 80	  3	23:01:02
100	 80	  3	23:01:04
100	 80	  3	23:01:06
100	 79	  3	23:01:08
100	 78	  3	23:01:10
100	 78	  3	23:01:12
100	 83	  3	23:01:14
100	 85	  4	23:01:16
100	 86	  4	23:01:18
100	 85	  3	23:01:20
100	 86	  2	23:01:22
